"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.511916664E-3,-7.185476670E-1,-2.911528648E0,1.201246136E0,3.230526598E0
1.148391666E-2,-5.227421026E-1,-2.586700616E0,1.226943334E0,2.910269631E0
2.145491668E-2,-4.499167858E-1,-2.293217753E0,1.156451641E0,2.607422707E0
3.142691668E-2,-3.336137661E-1,-1.947021655E0,1.035124401E0,2.230173535E0
4.139891668E-2,-1.993404986E-1,-1.610019720E0,9.418705206E-1,1.875905171E0
5.137091668E-2,-2.426614961E-1,-1.360471666E0,8.048914540E-1,1.599255454E0
6.134291668E-2,-4.004467101E-1,-1.062941360E0,6.145889966E-1,1.291480366E0
7.131491668E-2,-4.843767665E-1,-7.477618182E-1,4.252643399E-1,9.872276067E-1
8.128687501E-2,-6.005745363E-1,-4.795833653E-1,3.019152061E-1,8.257377124E-1
9.125887501E-2,-9.073403732E-1,-2.174731529E-1,2.151776091E-1,9.575293879E-1
1.012308750E-1,-1.138813222E0,6.065843046E-2,1.244462907E-1,1.147197402E0
1.112018750E-1,-1.244091171E0,3.342689466E-1,1.375078741E-1,1.295533475E0
1.211738750E-1,-1.357431698E0,6.128039879E-1,2.485568051E-1,1.509943717E0
1.311458750E-1,-1.479418066E0,9.224462163E-1,3.274696581E-1,1.773928187E0
1.411178750E-1,-1.393216658E0,1.244701474E0,4.649015184E-1,1.925218906E0
1.510898750E-1,-1.178092332E0,1.558385298E0,6.617410898E-1,2.062611827E0
1.610618750E-1,-9.406294490E-1,1.923200684E0,8.362536529E-1,2.298435294E0
1.710338750E-1,-6.482636963E-1,2.283159372E0,9.360082483E-1,2.551308288E0
1.810058750E-1,-2.320751122E-1,2.629750156E0,9.967782875E-1,2.821880879E0
1.909778750E-1,1.391100843E-1,3.018694078E0,1.018786111E0,3.189010927E0
2.009498750E-1,3.883682629E-1,3.396584423E0,8.997297835E-1,3.535127909E0
2.109208750E-1,6.505952735E-1,3.692204443E0,6.701587415E-1,3.808511599E0
2.208928750E-1,8.306149636E-1,3.977954949E0,4.562675929E-1,4.089281955E0
2.308648750E-1,8.078038059E-1,4.228740858E0,2.055074839E-1,4.310107837E0
2.408368750E-1,6.349339449E-1,4.418155562E0,-1.126196393E-1,4.464966167E0
2.508088750E-1,4.987229101E-1,4.544084122E0,-3.431788608E-1,4.584233500E0
2.607808750E-1,2.228311028E-1,4.687368972E0,-4.341427521E-1,4.712702145E0
2.707528750E-1,-1.174201302E-1,4.779159733E0,-4.664498612E-1,4.803304145E0
2.807248750E-1,-3.750665782E-1,4.870155857E0,-4.412730662E-1,4.904468873E0
2.906968750E-1,-4.998673564E-1,4.915119776E0,-2.834333269E-1,4.948596189E0
3.006678750E-1,-6.084786563E-1,5.005208997E0,-4.710867763E-2,5.042279505E0
3.106398750E-1,-5.889113876E-1,5.091133831E0,2.012529767E-1,5.129031397E0
3.206118750E-1,-3.295480509E-1,5.165764183E0,4.043162147E-1,5.192031695E0
3.305838750E-1,-4.741390228E-2,5.265939267E0,6.036864245E-1,5.300641635E0
3.405558750E-1,2.370220028E-1,5.353288482E0,6.824378943E-1,5.401814370E0
3.505278750E-1,6.222462179E-1,5.420004044E0,5.948723316E-1,5.487941989E0
3.604998750E-1,9.729278603E-1,5.475946695E0,4.570230166E-1,5.580452568E0
3.704718750E-1,1.179589073E0,5.482838808E0,2.529493797E-1,5.613994581E0
3.804438750E-1,1.315015265E0,5.469110715E0,-4.777292132E-2,5.625186167E0
3.904148750E-1,1.357140799E0,5.403012620E0,-3.445787573E-1,5.581497204E0
4.003868750E-1,1.253679873E0,5.277594522E0,-6.089758158E-1,5.458531735E0
4.103588750E-1,1.034122554E0,5.107370380E0,-8.030764782E-1,5.272530083E0
4.203308750E-1,8.275178397E-1,4.911729560E0,-9.111961734E-1,5.063610522E0
4.303028750E-1,5.953110190E-1,4.684638323E0,-8.845469034E-1,4.804441138E0
4.402748750E-1,3.062566906E-1,4.438805004E0,-7.455691123E-1,4.511391839E0
4.502468750E-1,1.189577287E-1,4.179586825E0,-5.748421097E-1,4.220609010E0
4.602188750E-1,8.608526699E-2,3.908632114E0,-3.566918492E-1,3.925817717E0
4.701908750E-1,4.058939762E-2,3.658017527E0,-9.639018059E-2,3.659512372E0
4.801618750E-1,1.050626247E-1,3.402294813E0,8.844498396E-2,3.405065442E0
4.901338750E-1,3.092345314E-1,3.165000769E0,2.064809722E-1,3.186767995E0
5.001058750E-1,5.477065706E-1,2.941370498E0,2.564156091E-1,3.002897244E0
5.100778750E-1,7.446223019E-1,2.687417736E0,2.348399681E-1,2.798540025E0
