"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.599791650E-3,6.889820981E-1,-2.344838727E0,-4.254720622E-1,2.480723979E0
1.557079167E-2,5.644825977E-1,-2.624392937E0,-2.497041750E-1,2.696002795E0
2.554279167E-2,3.937167842E-1,-2.943564958E0,-6.610218823E-2,2.970514613E0
3.551479167E-2,2.053466854E-1,-3.240191284E0,1.278365429E-1,3.249207442E0
4.548679167E-2,9.173933267E-2,-3.474417295E0,2.567986017E-1,3.485102174E0
5.545879167E-2,-6.240196053E-2,-3.740649210E0,3.628378576E-1,3.758723430E0
6.543079167E-2,-2.138897599E-1,-3.994635885E0,4.341820747E-1,4.023851235E0
7.540279167E-2,-3.596390286E-1,-4.197993860E0,4.934933066E-1,4.242172594E0
8.537479167E-2,-3.958142901E-1,-4.378833037E0,4.553753078E-1,4.420205243E0
9.534679167E-2,-4.187774388E-1,-4.547696532E0,4.146020883E-1,4.585718393E0
1.053187917E-1,-4.608694247E-1,-4.707796220E0,3.732207584E-1,4.745001540E0
1.152897917E-1,-4.560790933E-1,-4.808744890E0,3.186311531E-1,4.840822386E0
1.252617917E-1,-3.729308096E-1,-4.892623199E0,1.963752476E-1,4.910743568E0
1.352337917E-1,-2.918687212E-1,-4.966286421E0,1.486315441E-1,4.977075397E0
1.452057917E-1,-2.357607036E-1,-4.982068641E0,1.049773649E-1,4.988748471E0
1.551777917E-1,-1.383854133E-1,-5.004086332E0,7.118634224E-2,5.006505571E0
1.651497917E-1,-3.261052469E-2,-4.998948968E0,4.429379147E-2,4.999251561E0
1.751217917E-1,9.574455662E-2,-4.942994038E0,5.378035069E-2,4.944213730E0
1.850937917E-1,1.492671365E-1,-4.902345949E0,1.111940881E-1,4.905878169E0
1.950657917E-1,2.360031985E-1,-4.835802881E0,1.617328886E-1,4.844258925E0
2.050367917E-1,3.175374680E-1,-4.729605750E0,2.322093423E-1,4.745937396E0
2.150087917E-1,3.821902045E-1,-4.612821651E0,3.128049874E-1,4.639185262E0
