"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.115708333E-1,7.967367809E-1,2.832535688E0,-6.588467181E-1,3.015315393E0
6.215428333E-1,6.750641169E-1,2.281098229E0,-6.176337880E-1,2.457761621E0
6.315138333E-1,5.190949749E-1,1.709099035E0,-5.149765251E-1,1.858945918E0
6.414858333E-1,3.898983696E-1,1.139934572E0,-4.760902387E-1,1.295427915E0
6.514568333E-1,3.217508254E-1,5.789275593E-1,-4.365870345E-1,7.932773482E-1
6.614288333E-1,2.678446134E-1,1.573836565E-2,-2.933302875E-1,3.975312449E-1
6.714008333E-1,2.639110087E-1,-5.323030311E-1,-2.263381896E-1,6.357865314E-1
6.813718333E-1,3.470698173E-1,-1.017582754E0,-2.782825146E-1,1.110573400E0
6.913438333E-1,4.452110928E-1,-1.517196926E0,-3.255250935E-1,1.614331445E0
7.013148333E-1,6.046259259E-1,-2.043355703E0,-3.363518710E-1,2.157314910E0
7.112868333E-1,7.648455551E-1,-2.478778557E0,-3.676244614E-1,2.620015191E0
7.212588333E-1,9.449076375E-1,-2.919638152E0,-4.915005755E-1,3.107846553E0
7.312298333E-1,1.104225334E0,-3.375342073E0,-6.471025854E-1,3.609846181E0
7.412018333E-1,1.238940504E0,-3.823671486E0,-7.127299067E-1,4.082085389E0
7.511728333E-1,1.330081493E0,-4.226205506E0,-7.650760084E-1,4.496139572E0
7.611448333E-1,1.432538745E0,-4.634964471E0,-8.415284262E-1,4.923741768E0
7.711168333E-1,1.514545798E0,-5.029960261E0,-1.007239687E0,5.348727044E0
7.810878333E-1,1.559950305E0,-5.372448054E0,-9.908217289E-1,5.681405701E0
7.910598333E-1,1.571689029E0,-5.719615374E0,-9.479674854E-1,6.006900097E0
8.010318333E-1,1.537755882E0,-6.046061915E0,-9.330319425E-1,6.307939952E0
8.110028333E-1,1.563641945E0,-6.292661803E0,-9.607408011E-1,6.554814383E0
8.209748333E-1,1.606077966E0,-6.541077252E0,-1.048297008E0,6.816458367E0
8.309469583E-1,1.581383274E0,-6.777381363E0,-9.749729240E-1,7.027392361E0
8.409189583E-1,1.556692967E0,-6.939108331E0,-8.898153909E-1,7.167027896E0
8.508909583E-1,1.559897388E0,-7.071264176E0,-8.435093898E-1,7.290237650E0
8.608619583E-1,1.551630594E0,-7.189308935E0,-8.932599125E-1,7.408888832E0
8.708339583E-1,1.535559668E0,-7.260270744E0,-8.646260975E-1,7.471081117E0
8.808049583E-1,1.503908690E0,-7.279929668E0,-8.072140411E-1,7.477346576E0
8.907769583E-1,1.479972089E0,-7.294245406E0,-7.379765028E-1,7.479367804E0
9.007489583E-1,1.446623372E0,-7.267624202E0,-7.458240509E-1,7.447639508E0
9.107199583E-1,1.403124911E0,-7.181297665E0,-7.358475316E-1,7.353996686E0
9.206919583E-1,1.342304074E0,-7.095344179E0,-6.983446598E-1,7.254886251E0
9.306629583E-1,1.294216134E0,-6.984059971E0,-6.363817155E-1,7.131414360E0
9.406349583E-1,1.252316156E0,-6.820359567E0,-6.241365496E-1,6.962409555E0
9.506069583E-1,1.187335026E0,-6.614118331E0,-6.410893089E-1,6.750357121E0
9.605779583E-1,1.161333773E0,-6.401998304E0,-6.359776729E-1,6.537487745E0
9.705499583E-1,1.128335012E0,-6.160245173E0,-6.222402245E-1,6.293563648E0
9.805209583E-1,1.133942345E0,-5.842184708E0,-6.109598491E-1,5.982492737E0
9.904929583E-1,1.186892538E0,-5.510972101E0,-6.811135000E-1,5.678331004E0
1.000464958E0,1.250277963E0,-5.139064043E0,-7.110459816E-1,5.336549504E0
1.010435958E0,1.306820392E0,-4.721071154E0,-7.118961668E-1,4.950059447E0
1.020407958E0,1.410661095E0,-4.294067121E0,-7.349610937E-1,4.579207898E0
1.030378958E0,1.550864755E0,-3.825578263E0,-7.920924105E-1,4.203289298E0
1.040350958E0,1.665404693E0,-3.313359833E0,-7.678493428E-1,3.787019776E0
1.050322958E0,1.750393826E0,-2.822653894E0,-7.761565552E-1,3.410816992E0
1.060293958E0,1.806941079E0,-2.322739175E0,-7.548843846E-1,3.038092127E0
1.070265958E0,1.821890217E0,-1.817500566E0,-7.347459161E-1,2.676274245E0
1.080236958E0,1.773219894E0,-1.308426769E0,-6.488701256E-1,2.297242226E0
1.090208958E0,1.615126971E0,-8.325616479E-1,-5.104829764E-1,1.887428647E0
1.100180958E0,1.431233793E0,-3.616187131E-1,-4.048413312E-1,1.530717076E0
1.110151958E0,1.149634153E0,1.245608962E-1,-3.125886770E-1,1.197867181E0
1.120123958E0,8.506724482E-1,5.718617839E-1,-1.619456542E-1,1.037735953E0
1.130095958E0,5.341872963E-1,1.007178803E0,-6.104727030E-2,1.141705732E0
1.140066958E0,2.765888686E-1,1.471552391E0,-3.292976439E-2,1.497682280E0
1.150038958E0,4.848072678E-2,1.953602697E0,-1.794744372E-2,1.954286568E0
1.160009958E0,-6.959779993E-2,2.427587938E0,-3.531897325E-2,2.428842210E0
1.169981958E0,-5.690283693E-2,2.918775687E0,-1.256479301E-1,2.922032999E0
1.179953958E0,4.545566976E-2,3.454121025E0,-2.277116275E-1,3.461917223E0
1.189924958E0,2.307244053E-1,3.941633214E0,-2.887881339E-1,3.958927220E0
1.199896958E0,4.955061010E-1,4.448390930E0,-4.015663058E-1,4.493880690E0
1.209867958E0,8.132217629E-1,4.969707043E0,-4.769159021E-1,5.058336337E0
1.219839958E0,1.045066568E0,5.467179964E0,-4.583942618E-1,5.585010850E0
1.229811958E0,1.182627725E0,5.873259736E0,-3.650276399E-1,6.002252364E0
1.239782958E0,1.276004104E0,6.248995382E0,-2.935039133E-1,6.384690619E0
1.249754958E0,1.194742863E0,6.574917428E0,-1.726688995E-1,6.684815947E0
1.259725958E0,9.129366703E-1,6.792537931E0,1.055247009E-2,6.853622127E0
1.269697958E0,6.080011215E-1,6.946898577E0,1.729682038E-1,6.975599128E0
1.279669958E0,2.555923212E-1,7.093851385E0,2.310603279E-1,7.102214006E0
1.289640958E0,-1.634009713E-1,7.164119714E0,2.988745443E-1,7.172212849E0
1.299612958E0,-5.526983386E-1,7.225967469E0,3.478087592E-1,7.255415374E0
1.309583958E0,-7.828676970E-1,7.307896315E0,2.869725551E-1,7.355309894E0
1.319555958E0,-8.453437344E-1,7.347072660E0,1.692681040E-1,7.397481625E0
1.329527958E0,-8.546762560E-1,7.369756933E0,6.314172467E-2,7.419418821E0
1.339498958E0,-6.794938213E-1,7.399887051E0,-1.658796608E-2,7.431037302E0
1.349470958E0,-3.643556486E-1,7.446796339E0,-1.272862651E-1,7.456791035E0
1.359442958E0,-7.456267074E-2,7.427200565E0,-1.912571615E-1,7.430036818E0
1.369413958E0,1.663461590E-1,7.381985800E0,-1.231651658E-1,7.384886936E0
1.379385958E0,4.056494895E-1,7.308716680E0,-4.715779424E-2,7.320117135E0
1.389356958E0,5.006806310E-1,7.141645356E0,1.167396605E-2,7.159184016E0
1.399328958E0,4.133827246E-1,6.878237647E0,1.303244875E-1,6.891880939E0
1.409300958E0,2.583524993E-1,6.589074706E0,3.064812237E-1,6.601256111E0
1.419271958E0,-7.922465578E-3,6.222021591E0,3.801619881E-1,6.233629648E0
1.429243958E0,-3.556732277E-1,5.774451731E0,3.870488387E-1,5.798327608E0
1.439214958E0,-6.900861986E-1,5.341760697E0,4.258041841E-1,5.402956182E0
1.449186958E0,-9.632575889E-1,4.897759393E0,4.025995088E-1,5.007793787E0
1.459158958E0,-1.203463693E0,4.414915035E0,3.181651300E-1,4.587050107E0
1.469129958E0,-1.378755909E0,3.959628021E0,2.313883567E-1,4.199185932E0
1.479101958E0,-1.385165627E0,3.524227386E0,1.762116909E-1,3.790766815E0
1.489072958E0,-1.282191628E0,3.099403780E0,1.122630413E-1,3.356027734E0
1.499044958E0,-1.161148270E0,2.646531665E0,4.280863980E-2,2.890368098E0
1.509016958E0,-9.941913331E-1,2.203521464E0,1.767146428E-2,2.417485374E0
1.518987958E0,-7.788454704E-1,1.768510839E0,3.817998846E-2,1.932792945E0
1.528959958E0,-6.254361664E-1,1.312816274E0,6.283885717E-2,1.455543091E0
1.538930958E0,-5.539470845E-1,8.256426376E-1,1.252894501E-1,1.002118049E0
1.548902958E0,-5.094386637E-1,3.479666340E-1,1.740002739E-1,6.410028283E-1
1.558874958E0,-5.362539947E-1,-1.834885508E-1,2.676282299E-1,6.267864585E-1
1.568845958E0,-6.318214720E-1,-7.182836652E-1,3.335006225E-1,1.013090549E0
1.578817958E0,-7.977794856E-1,-1.251838000E0,3.579770672E-1,1.526989871E0
1.588788958E0,-9.484404521E-1,-1.806404305E0,3.905916667E-1,2.077305383E0
1.598760958E0,-1.105623695E0,-2.332152023E0,3.893906486E-1,2.610165108E0
1.608732958E0,-1.275480632E0,-2.851570714E0,4.054166973E-1,3.150026838E0
1.618703958E0,-1.435726939E0,-3.363913105E0,3.623004985E-1,3.675389078E0
1.628675958E0,-1.523058321E0,-3.832770338E0,2.826918268E-1,4.133975058E0
1.638646958E0,-1.616695340E0,-4.273560351E0,2.551865244E-1,4.576258522E0
1.648618958E0,-1.684681209E0,-4.687550236E0,2.484657347E-1,4.987285154E0
1.658590958E0,-1.666947042E0,-5.053327489E0,2.405977396E-1,5.326604775E0
1.668561958E0,-1.637293911E0,-5.380663977E0,1.484748387E-1,5.626217287E0
1.678533958E0,-1.642887796E0,-5.712802783E0,1.296982781E-1,5.945756267E0
1.688505958E0,-1.625515865E0,-5.993020068E0,1.422241835E-1,6.211184998E0
1.698476958E0,-1.586803935E0,-6.231559569E0,1.885037259E-1,6.433180788E0
1.708448958E0,-1.504325742E0,-6.444094164E0,1.596032778E-1,6.619276300E0
1.718419958E0,-1.454769713E0,-6.629442714E0,1.084506110E-1,6.788050320E0
1.728391958E0,-1.431016130E0,-6.786342806E0,1.710696495E-1,6.937688424E0
1.738363958E0,-1.398160625E0,-6.903495280E0,1.897584836E-1,7.046212351E0
1.748334958E0,-1.324493017E0,-6.981087831E0,1.850971198E-1,7.108032780E0
1.758306958E0,-1.268581210E0,-7.053849998E0,1.926820914E-1,7.169604206E0
1.768277958E0,-1.215753225E0,-7.076496264E0,2.059658325E-1,7.183124474E0
1.778249958E0,-1.139324415E0,-7.087119486E0,2.392867390E-1,7.182101424E0
1.788221958E0,-1.078599034E0,-7.060491266E0,2.206493239E-1,7.145809885E0
1.798192958E0,-9.815510416E-1,-6.986392425E0,2.097676555E-1,7.058124683E0
1.808164958E0,-9.397615761E-1,-6.877116736E0,2.118317958E-1,6.944260877E0
1.818135958E0,-8.359799302E-1,-6.798830704E0,2.288740722E-1,6.853856194E0
1.828107958E0,-7.340277319E-1,-6.646860400E0,2.421168280E-1,6.691649307E0
1.838078667E0,-6.772031745E-1,-6.441935372E0,2.173901407E-1,6.481079690E0
1.848049667E0,-6.517139921E-1,-6.236002868E0,1.885013688E-1,6.272798073E0
1.858021667E0,-6.314928585E-1,-6.040209437E0,1.717234047E-1,6.075557769E0
1.867992667E0,-6.273654552E-1,-5.766530508E0,1.535151386E-1,5.802588079E0
1.877964667E0,-6.617826781E-1,-5.497962631E0,1.634764369E-1,5.540060826E0
1.887936667E0,-7.110005195E-1,-5.213838236E0,1.466084075E-1,5.264135724E0
1.897907667E0,-7.808520886E-1,-4.906536064E0,1.476117988E-1,4.970474361E0
1.907879667E0,-8.873203839E-1,-4.521011594E0,1.634261692E-1,4.610161755E0
1.917850667E0,-1.006943453E0,-4.125301859E0,1.664982963E-1,4.249679074E0
1.927822667E0,-1.103599316E0,-3.716467465E0,1.558189416E-1,3.879992450E0
1.937794667E0,-1.163457774E0,-3.253964986E0,1.757111692E-1,3.460172905E0
1.947765667E0,-1.142311611E0,-2.765832406E0,1.835136938E-1,2.998063040E0
1.957737667E0,-1.074150838E0,-2.259982764E0,2.138929027E-1,2.511388518E0
1.967708667E0,-9.895472552E-1,-1.736323087E0,1.948432589E-1,2.007980460E0
1.977680667E0,-8.473646052E-1,-1.169916755E0,1.405132699E-1,1.451370375E0
1.987652667E0,-5.633721384E-1,-5.847665888E-1,9.839051306E-2,8.179369308E-1
1.997623667E0,-2.880393248E-1,1.533315361E-2,2.577686091E-2,2.895966243E-1
2.007595667E0,-3.019217111E-2,6.134366566E-1,8.532374024E-2,6.200776076E-1
2.017566667E0,2.909486070E-1,1.210860128E0,-4.311727686E-3,1.245332058E0
2.027538667E0,5.584082908E-1,1.793629308E0,-1.394035597E-2,1.878595286E0
2.037510667E0,7.035288012E-1,2.333430809E0,-5.980883916E-2,2.437914931E0
2.047481667E0,7.582591783E-1,2.811523134E0,-5.240292940E-3,2.911983306E0
2.057453667E0,7.162975122E-1,3.268663716E0,-3.573818207E-2,3.346419256E0
2.067425667E0,6.135699000E-1,3.721162194E0,3.591301382E-2,3.771578693E0
2.077396667E0,3.937162726E-1,4.094912125E0,5.173324049E-2,4.114121309E0
2.087368667E0,1.174153702E-1,4.442371806E0,1.018625714E-1,4.445090507E0
2.097339667E0,-1.897065347E-1,4.823095127E0,1.334504181E-1,4.828668987E0
2.107311667E0,-4.262197749E-1,5.172773241E0,1.968547010E-1,5.194034855E0
2.117283667E0,-5.755504268E-1,5.496314886E0,1.696131080E-1,5.528969544E0
2.127254667E0,-6.407612801E-1,5.866906151E0,1.419370669E-1,5.903499719E0
2.137226667E0,-5.515974540E-1,6.195974584E0,5.551580429E-2,6.220726871E0
2.147197667E0,-3.469050720E-1,6.520869275E0,5.946983770E-4,6.530090320E0
2.157169667E0,-5.479301535E-2,6.868952268E0,-1.033454436E-1,6.869948167E0
2.167141667E0,3.229814816E-1,7.155748841E0,-1.850573770E-1,7.165424254E0
2.177112667E0,6.622595186E-1,7.399202342E0,-2.452614605E-1,7.432828274E0
2.187084667E0,9.407234430E-1,7.629355182E0,-2.462836269E-1,7.691077734E0
2.197055667E0,1.150742638E0,7.743015114E0,-2.964362919E-1,7.833668754E0
2.207027667E0,1.226507862E0,7.800134810E0,-2.576593119E-1,7.900178030E0
2.216999667E0,1.144848499E0,7.804479291E0,-1.508353962E-1,7.889443986E0
2.226970667E0,9.361333787E-1,7.726307865E0,-8.057346225E-2,7.783230114E0
2.236942667E0,6.883157348E-1,7.568055312E0,-3.203163207E-2,7.599359564E0
2.246913667E0,3.548866310E-1,7.413676540E0,3.487162471E-2,7.422247664E0
2.256885667E0,3.748138323E-2,7.202682102E0,9.449977577E-2,7.203399511E0
2.266857667E0,-1.294499724E-1,6.945022205E0,5.025444310E-2,6.946410313E0
2.276828667E0,-2.358665199E-1,6.732500474E0,-3.096721955E-3,6.736631595E0
2.286800667E0,-2.347243759E-1,6.522441006E0,-7.330303431E-2,6.527074808E0
2.296771667E0,-7.374486454E-2,6.249207051E0,-1.761935645E-1,6.252125338E0
2.306743667E0,1.733567513E-1,5.996799123E0,-3.149251147E-1,6.007564408E0
2.316715667E0,4.629934623E-1,5.734345095E0,-4.209181776E-1,5.768383545E0
2.326686667E0,7.594941102E-1,5.412918388E0,-4.636871248E-1,5.485574038E0
2.336658667E0,1.005961194E0,5.053058517E0,-5.116675492E-1,5.177563325E0
2.346629667E0,1.159043931E0,4.692265431E0,-5.371790242E-1,4.863054494E0
2.356601667E0,1.234681977E0,4.245935766E0,-4.963970339E-1,4.449586512E0
2.366573667E0,1.199992201E0,3.745570226E0,-4.307461777E-1,3.956617226E0
2.376544667E0,1.090268761E0,3.233944119E0,-3.940461286E-1,3.435455267E0
2.386516667E0,9.196596526E-1,2.717956574E0,-3.250764658E-1,2.887687054E0
2.396488667E0,7.066068486E-1,2.115785163E0,-2.871935982E-1,2.249070977E0
2.406459667E0,5.304572844E-1,1.553694077E0,-2.574920815E-1,1.661822008E0
2.416431667E0,3.416952029E-1,9.972110546E-1,-2.407310379E-1,1.081266356E0
2.426402667E0,2.368582077E-1,4.031690276E-1,-3.098392797E-1,5.609344476E-1
2.436374667E0,1.493656620E-1,-1.480199254E-1,-3.128470143E-1,3.769525881E-1
2.446346667E0,1.598343708E-1,-6.622942364E-1,-3.236737188E-1,7.542846664E-1
2.456317667E0,1.918399827E-1,-1.172729266E0,-4.152791959E-1,1.258790419E0
2.466289667E0,2.444586378E-1,-1.692197074E0,-5.387870085E-1,1.792646759E0
2.476260667E0,3.759005008E-1,-2.189170643E0,-5.510942280E-1,2.288552848E0
2.486232667E0,4.909519605E-1,-2.642592396E0,-5.179370070E-1,2.737259057E0
2.496204667E0,5.761381450E-1,-3.099168722E0,-5.800865505E-1,3.205196146E0
2.506175667E0,6.575751679E-1,-3.571529022E0,-6.880746833E-1,3.696169832E0
2.516147667E0,7.010646383E-1,-3.982593545E0,-6.199720895E-1,4.091076675E0
