"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.115668750E-1,7.659756757E-1,-1.635255718E-1,-3.781219311E-1,8.697330298E-1
6.215378750E-1,6.144632815E-1,-3.648609942E-1,-4.870432796E-1,8.648120175E-1
6.315098750E-1,4.376437725E-1,-5.898215067E-1,-6.327564418E-1,9.694339565E-1
6.414818750E-1,2.834906296E-1,-7.952189898E-1,-7.705449092E-1,1.143013402E0
6.514528750E-1,1.858680021E-1,-1.025254886E0,-8.063398093E-1,1.317527375E0
6.614248750E-1,1.049276271E-1,-1.227384945E0,-8.025227469E-1,1.470213035E0
6.713968750E-1,7.601672709E-2,-1.409040393E0,-8.059983319E-1,1.625055902E0
6.813678750E-1,9.957040809E-2,-1.625030692E0,-7.453603667E-1,1.790586801E0
6.913398750E-1,1.647601383E-1,-1.823629033E0,-6.123777258E-1,1.930744735E0
7.013118750E-1,2.515828854E-1,-2.006130574E0,-5.244847190E-1,2.088764718E0
7.112828750E-1,3.831588323E-1,-2.179840241E0,-4.384247413E-1,2.256264705E0
7.212548750E-1,5.121727487E-1,-2.367411318E0,-2.719721995E-1,2.437401516E0
7.312268750E-1,6.549344192E-1,-2.508970655E0,-1.661370114E-1,2.598359934E0
7.411978750E-1,7.944206256E-1,-2.652446124E0,-1.286264652E-1,2.771844032E0
7.511698750E-1,8.895654224E-1,-2.793300871E0,-6.974792719E-2,2.932357613E0
7.611418750E-1,9.860865075E-1,-2.922150115E0,-1.894497871E-2,3.084102270E0
7.711128750E-1,1.071669060E0,-3.031771376E0,-7.586703837E-2,3.216499348E0
7.810848750E-1,1.085697334E0,-3.134912167E0,-1.475047857E-1,3.320868961E0
7.910568750E-1,1.070330486E0,-3.228151283E0,-1.948795481E-1,3.406544597E0
8.010278750E-1,1.062131813E0,-3.306616239E0,-2.753629267E-1,3.483914419E0
8.109998750E-1,1.025818484E0,-3.393461425E0,-3.800310105E-1,3.565432312E0
8.209718750E-1,9.337382861E-1,-3.432484573E0,-4.955398321E-1,3.591570305E0
8.309438750E-1,8.249028917E-1,-3.476248643E0,-5.561409964E-1,3.615807270E0
8.409148750E-1,7.464050449E-1,-3.540805412E0,-6.130577570E-1,3.670185727E0
8.508868750E-1,6.370955875E-1,-3.570882320E0,-6.729607272E-1,3.689168940E0
8.608588750E-1,5.303599282E-1,-3.584722679E0,-6.791873541E-1,3.686843338E0
8.708298750E-1,4.471872324E-1,-3.595127800E0,-6.470558077E-1,3.680163248E0
8.808018750E-1,3.785314190E-1,-3.609438275E0,-6.074584633E-1,3.679719620E0
8.907738750E-1,3.002343509E-1,-3.617755355E0,-5.452341120E-1,3.670909248E0
9.007448750E-1,2.247683584E-1,-3.584632047E0,-4.360741971E-1,3.618047600E0
9.107168750E-1,2.348668653E-1,-3.565229816E0,-3.313459235E-1,3.588288758E0
9.206888750E-1,2.407505529E-1,-3.532932721E0,-2.204716051E-1,3.547982831E0
9.306598750E-1,2.653850187E-1,-3.464834878E0,-1.379971765E-1,3.477722410E0
9.406318750E-1,3.074658948E-1,-3.400992054E0,-4.458739478E-2,3.415153036E0
9.506038750E-1,3.885171477E-1,-3.304791323E0,2.435891569E-2,3.327639497E0
9.605748750E-1,4.282730978E-1,-3.204905092E0,8.378884614E-2,3.234479103E0
9.705468750E-1,5.055469397E-1,-3.087221106E0,8.107043903E-2,3.129390401E0
9.805193750E-1,5.998270063E-1,-2.967854292E0,6.538356543E-2,3.028568399E0
9.904903750E-1,6.737872311E-1,-2.798191482E0,3.008270027E-2,2.878327600E0
1.000462375E0,7.053202419E-1,-2.615882315E0,-3.539259335E-2,2.709533090E0
1.010434375E0,7.393973762E-1,-2.463733671E0,-1.373002249E-1,2.575954858E0
1.020405375E0,7.292512876E-1,-2.296560021E0,-2.122358018E-1,2.418892186E0
1.030377375E0,7.037765039E-1,-2.109048586E0,-2.899949992E-1,2.242205255E0
1.040349375E0,6.064229580E-1,-1.917926495E0,-3.804403156E-1,2.047175048E0
1.050321375E0,4.967357339E-1,-1.752936780E0,-4.390966594E-1,1.874123694E0
1.060292375E0,3.722515094E-1,-1.546867452E0,-4.550618970E-1,1.654826707E0
1.070264375E0,2.090253881E-1,-1.373080017E0,-4.575305915E-1,1.462318224E0
1.080236375E0,3.811759684E-2,-1.221254139E0,-4.167696512E-1,1.290973108E0
1.090207375E0,-1.229946098E-1,-1.016687545E0,-3.295584297E-1,1.075820616E0
1.100179375E0,-2.736774668E-1,-8.217606711E-1,-2.447784988E-1,9.000591480E-1
1.110151375E0,-3.675711421E-1,-6.312887907E-1,-1.358202946E-1,7.430216916E-1
1.120122375E0,-4.123113320E-1,-4.274396503E-1,-4.877277693E-2,5.958893126E-1
1.130094375E0,-4.806967848E-1,-2.264597386E-1,8.947820524E-2,5.388504072E-1
1.140066375E0,-4.441773051E-1,-4.164737821E-2,1.713555966E-1,4.779024199E-1
1.150037375E0,-3.592170059E-1,1.888586336E-1,2.252154511E-1,4.641405393E-1
1.160009375E0,-2.765681840E-1,4.391937232E-1,2.309971780E-1,5.681027928E-1
1.169981375E0,-1.172063688E-1,6.680174911E-1,2.250891513E-1,7.145976681E-1
1.179952375E0,5.289779571E-2,8.912331945E-1,1.453804922E-1,9.045608168E-1
1.189924375E0,1.766982706E-1,1.138273963E0,6.120923817E-2,1.153532169E0
1.199896375E0,2.718937554E-1,1.381186012E0,-4.109189272E-2,1.408293136E0
1.209867375E0,3.406083517E-1,1.612360945E0,-1.466317964E-1,1.654455424E0
1.219839375E0,3.227716761E-1,1.809255407E0,-2.363596594E-1,1.852957790E0
1.229811375E0,2.855973083E-1,2.032161793E0,-3.066583943E-1,2.074918492E0
1.239782375E0,1.668197104E-1,2.203113914E0,-3.333369005E-1,2.234424584E0
1.249754375E0,-1.713582050E-2,2.344908308E0,-3.271119547E-1,2.367676254E0
1.259726375E0,-2.031001121E-1,2.492596112E0,-2.878607655E-1,2.517369431E0
1.269698375E0,-4.401217494E-1,2.625946543E0,-1.952584112E-1,2.669724376E0
1.279669375E0,-6.539267246E-1,2.737418447E0,-7.542440414E-2,2.815451785E0
1.289641375E0,-7.913946915E-1,2.869455008E0,2.176684499E-2,2.976667834E0
1.299613375E0,-9.132383135E-1,2.981758971E0,1.234189349E-1,3.120917014E0
1.309584375E0,-9.504410038E-1,3.081555154E0,2.049273670E-1,3.231302446E0
1.319556375E0,-8.973648772E-1,3.193950334E0,2.386049902E-1,3.326186224E0
1.329528375E0,-7.900257853E-1,3.308893145E0,2.515226591E-1,3.411184286E0
1.339499375E0,-6.506899984E-1,3.425877219E0,2.148793280E-1,3.493738015E0
1.349471375E0,-4.388706645E-1,3.522895390E0,1.236276805E-1,3.552278592E0
1.359443375E0,-2.242787637E-1,3.626180608E0,3.211524725E-2,3.633251733E0
1.369414375E0,-3.177404394E-2,3.730768000E0,-4.572405696E-2,3.731183478E0
1.379386375E0,1.039742934E-1,3.766719605E0,-1.533198416E-1,3.771272227E0
1.389358375E0,1.894032652E-1,3.814017148E0,-2.452450883E-1,3.826584058E0
1.399329375E0,1.894515413E-1,3.846025976E0,-2.558133459E-1,3.859177135E0
1.409301375E0,9.936977550E-2,3.805688374E0,-2.383874738E-1,3.814441891E0
1.419273375E0,-3.297810442E-2,3.761731346E0,-2.104284275E-1,3.767756679E0
1.429244375E0,-2.290431481E-1,3.705172983E0,-1.457535446E-1,3.715105879E0
1.439216375E0,-4.450210218E-1,3.606137522E0,-4.662101984E-2,3.633792104E0
1.449188375E0,-6.850150546E-1,3.505168971E0,3.781160474E-2,3.571678157E0
1.459159375E0,-8.456834576E-1,3.431974695E0,1.180330646E-1,3.536603261E0
1.469131375E0,-9.726102103E-1,3.320168331E0,1.699610174E-1,3.463867075E0
1.479103375E0,-1.029975562E0,3.213578852E0,1.907969856E-1,3.379991447E0
1.489074375E0,-9.965118007E-1,3.120327457E0,1.699504924E-1,3.279994264E0
1.499046375E0,-8.693856579E-1,3.029256488E0,1.304162979E-1,3.154240749E0
1.509018375E0,-7.166107037E-1,2.926201066E0,8.741587400E-2,3.013938473E0
1.518990375E0,-5.187842685E-1,2.794087906E0,5.842537880E-3,2.841847723E0
1.528961375E0,-2.832762926E-1,2.691062306E0,-6.225062728E-2,2.706646806E0
1.538933375E0,-8.803798120E-2,2.555326211E0,-1.242275957E-1,2.559858439E0
1.548905375E0,7.746374851E-2,2.385259359E0,-1.482152132E-1,2.391114926E0
1.558876375E0,2.218145826E-1,2.251605458E0,-1.689377546E-1,2.268803387E0
1.568848375E0,2.556440507E-1,2.081199467E0,-1.384562286E-1,2.101407916E0
1.578820375E0,2.222493413E-1,1.840186009E0,-1.219740880E-1,1.857567494E0
1.588791375E0,1.592514034E-1,1.628268880E0,-7.496598244E-2,1.637754699E0
1.598763375E0,4.077174396E-2,1.425535973E0,-1.717561126E-2,1.426222335E0
1.608735375E0,-1.176455678E-1,1.170389795E0,1.420405626E-2,1.176373455E0
1.618706375E0,-2.798191629E-1,9.361602759E-1,7.576705098E-2,9.800180979E-1
1.628678375E0,-3.901545508E-1,7.335361272E-1,1.072168851E-1,8.377298394E-1
1.638650375E0,-5.272498673E-1,4.861883801E-1,1.246275544E-1,7.279447719E-1
1.648621375E0,-6.011463940E-1,2.433856738E-1,1.316325188E-1,6.617708767E-1
1.658593375E0,-6.207878492E-1,3.498623013E-2,1.214408219E-1,6.335214781E-1
1.668565375E0,-5.647003334E-1,-1.572982872E-1,8.987170458E-2,5.930481776E-1
1.678536375E0,-4.868425374E-1,-3.739966840E-1,6.524439256E-2,6.173702346E-1
1.688508375E0,-3.815600574E-1,-5.653456467E-1,2.852387826E-2,6.826546633E-1
1.698480375E0,-2.176361988E-1,-7.432471830E-1,-2.023136616E-4,7.744558935E-1
1.708451375E0,-5.252729237E-2,-9.558460969E-1,-2.609494488E-2,9.576438918E-1
1.718423375E0,9.219294869E-2,-1.158500651E0,-2.272227089E-2,1.162385306E0
1.728395375E0,2.269344229E-1,-1.325432811E0,-2.524359028E-2,1.344956731E0
1.738366375E0,3.978763472E-1,-1.522627235E0,-4.665375511E-2,1.574444619E0
1.748338375E0,4.805264847E-1,-1.723692516E0,1.099285679E-3,1.789419683E0
